ward_code;ward_name;population_density;average_income;employment_rate;avg_gcse_score;economically_active;in_employment;eco
E05000221;Glyndon;9970,6;39810;62,52257913;317,4898477;70,3;85,42240102;9446
E05000222;Greenwich West;6392,9;53640;68,57119767;310,8977064;73;90,78767483;9509
E05000223;Kidbrooke with Hornfair;5604,2;44870;67,33051285;313,148366;69,7;90,68061405;7361
E05000224;Middle Park and Sutcliffe;3924,2;44350;65,56083981;329,26;67,2;89,78552692;6481
E05000225;Peninsula;6433,3;53050;74,21718854;302,8371134;76,6;92,7901524;8530
E05000226;Plumstead;6562,5;40660;63,94450299;305,5567839;70,1;86,06499883;8554
E05000227;Shooters Hill;3355,3;49190;69,52550679;320,0586957;71,3;90,47955864;7069
E05000228;Thamesmead Moorings;4541,7;43220;62,93169025;311,460793;70,4;86,63828904;9632
E05000229;Woolwich Common;7326,9;38090;60,46412785;313,0375;68,8;84,59278411;8509
E05000230;Woolwich Riverside;7281,3;42080;64,72561885;309,0051724;72;86,63967611;10127
E05000231;Brownswood;18250;48860;71,97727273;295,0340909;75,3;92,39318707;6928
E05000232;Cazenove;19785,7;46380;64,80144404;320,3638298;69,9;89,6105895;6497
E05000233;Chatham;15777,8;39570;63,00467488;326,3227273;70,8;85,20676425;7037
E05000234;Clissold;18214,3;56050;73,29458215;345,5694444;76,7;92,20389805;7337
E05000235;Dalston;18333,3;46500;70,39670002;332,2970803;76,2;89,46556474;9075
E05000236;De Beauvoir;17833,3;47560;71,07044133;314,8584158;75,6;90,64299424;8336
E05000237;Hackney Central;16562,5;42840;66,56710049;327,9693069;73,1;87,16710363;7247
E05000238;Hackney Downs;13550;43360;65,09532789;318,0313433;71,2;87,33490894;7193
E05000239;Haggerston;13166,7;43830;67,42542451;295,3051402;73,1;89,34169279;8294
E05000240;Hoxton;20687,5;42490;62,70197107;322,5357798;69,5;87,66226172;8551
E05000241;King's Park;6611,1;38930;57,55733628;320,5472603;64,2;83,90031646;5056
E05000242;Leabridge;13454,5;42650;65,58351496;338,5455285;72,2;87,05653021;7695
E05000243;Lordship;10750;48700;64,63042926;335,9011905;68,6;91,08669109;5733
E05000244;New River;15800;43230;58,16377795;320,4537634;64;87,0486367;5428
E05000245;Queensbridge;13318,2;44620;67,69170116;294,4322034;72,4;89,07229687;7815
E05000246;Springfield;13100;40810;53,82749326;331,8378947;61,2;84,89939847;4821
E05000247;Stoke Newington Central;18928,6;51920;73,38760175;327,7178947;77,2;91,56145323;7762
E05000248;Victoria;17375;45410;65,61351947;320,5949153;71,7;87,9111728;7205
E05000249;Wick;7812,5;40010;60,41259766;310,6221374;67,6;85,28860889;5873
E05000250;Addison;19083,3;63150;76,24805858;330,5236364;78,4;93,73074347;7465
E05000251;Askew;17562,5;54390;71,8149265;312,8184049;75,9;91,03585657;8534
E05000252;Avonmore and Brook Green;14000;62140;69,51877314;343,1041667;72,2;92,68225961;7311
E05000253;College Park and Old Oak;3411,8;43410;62,57678133;317,3738318;67,5;88,33937327;4691
E05000254;Fulham Broadway;16642,9;60160;72,39732569;294,339;74,1;92,73054971;6658
E05000255;Fulham Reach;12944,4;59970;70,96738034;343,0671642;72,6;93,90368107;6873
E05000256;Hammersmith Broadway;11136,4;56010;69,90015884;325,3680851;72,9;91,52715097;6869
E05000257;Munster;18333,3;73820;76,68209327;279,8714286;77,4;94,95095211;6932
E05000258;North End;21666,7;56020;72,67193507;300,0387387;76,1;92,39523363;7469
E05000259;Palace Riverside;5033,3;79350;74,25149701;309,3261905;72,7;95,81786686;4041
E05000260;Parsons Green and Walham;11888,9;83750;73,67878319;321,262963;74,8;94,36102236;6260
E05000261;Ravenscourt Park;9166,7;65710;72,23455661;339,5204301;73,9;93,19107346;6139
E05000262;Sands End;9857,1;63490;69,28882747;321,3060606;71,9;92,70255272;7208
E05000263;Shepherd's Bush Green;12000;51330;71,95638365;331,8721154;76,3;90,81337194;7598
E05000264;Town;16000;69820;76,36022514;333,8576923;78,9;93,6557169;7093
E05000265;Wormholt and White City;15166,7;44740;62,23630998;308,505036;67,2;87,84212914;6613
E05000266;Alexandra;4692,3;69550;76,65345554;382,0150943;77;94,43131462;6770
E05000267;Bounds Green;10500;44700;68,95784898;335,0286822;73,1;89,59462949;7746
E05000268;Bruce Grove;17000;39330;61,82108626;298,7234899;67,3;87,32453092;7195
E05000269;Crouch End;9285,7;70560;80,8604227;366,2734694;81,9;94,98590168;8157
E05000270;Fortis Green;6675;67140;75,93096111;375,2162362;76,8;94,17033983;7033
E05000271;Harringay;9000;48190;71,79984484;302,7841463;75,4;91,60958904;8176
E05000272;Highgate;4940;73250;78,97278831;315,8032787;79,2;95,37405628;7285
E05000273;Hornsey;12090,9;52520;72,40270183;329,3927273;76,3;90,69767442;7568
E05000274;Muswell Hill;6588,2;73580;78,41631356;374,5246753;78,3;94,88837567;6495
E05000275;Noel Park;12500;39680;63,20063379;302,0908397;68,3;88,05219519;7357
E05000276;Northumberland Park;8236,8;33120;52,33784216;292,7917526;61,8;80,59003708;6203
E05000277;St. Ann's;15454,5;41990;65,61625956;304,7010101;69,7;89,51136792;7961
E05000278;Seven Sisters;13076,9;43330;63,65458015;319,5840491;68,5;88,87143231;7638
E05000279;Stroud Green;11272,7;59130;77,26015271;334,9641975;79,7;93,41862305;7582
E05000280;Tottenham Green;12000;37600;61,28939277;292,4014286;68,1;85,57286167;7576
E05000281;Tottenham Hale;9868,4;35720;56,30203291;300,8793103;63;85,19105984;6935
E05000282;West Green;10214,3;40290;63,30866808;309,4290323;68,2;87,61520737;6944
E05000283;White Hart Lane;8352,9;35340;54,82598608;314,785446;61,2;84,75534358;5661
E05000284;Woodside;10566,7;41420;66,61585366;300,5747899;70,7;89,75591248;7907
E05000285;Belmont;6694,4;54020;71,78284182;356,1208;71,4;93,59406608;5932
E05000286;Canons;2607,1;50460;71,94932782;340,9206522;70,6;94,61674434;6223
E05000287;Edgware;9000;41980;68,5678392;334,2119658;70,3;91,32217848;6096
E05000288;Greenhill;8176,5;47230;71,10299812;318,2225352;73,4;91,98655085;7138
E05000289;Harrow on the Hill;3763,9;50100;68,23231104;343,2457447;70;92,88431062;6310
E05000290;Harrow Weald;2630,4;46390;69,11723754;323,85;69,1;91,86704385;5656
E05000291;Hatch End;3439,4;53990;73,18631179;351,3263158;71,2;93,99332592;5394
E05000292;Headstone North;3272,7;57100;73,78861296;359,5341176;71,6;94,3841258;5342
E05000293;Headstone South;8133,3;49350;71,73566879;351,0018519;72,7;92,42171885;6004
E05000294;Kenton East;9230,8;41060;68,47939489;337,0461538;69,8;91,44512611;5868
E05000295;Kenton West;6694,4;48400;71,6453358;342,0862069;71,5;92,97609233;6065
E05000296;Marlborough;8718,8;43080;68,39292077;322,78;71,7;89,60880196;6544
E05000297;Pinner;3257,6;56320;71,75449871;332,2802632;69,4;94,06456788;4987
E05000298;Pinner South;4604,2;64680;75,22178988;368,6133333;72,2;95,00281796;5323
E05000299;Queensbury;8062,5;43850;68,13950602;331,5670659;69,4;91,63125204;6118
E05000300;Rayners Lane;7933,3;51060;71,53064029;349,8122137;70,4;93,63269602;5701
E05000301;Roxbourne;9133,3;40110;64,82930299;321,0435754;68,2;89,89833791;6197
E05000302;Roxeth;7812,5;43940;68,55957474;335,3452381;70,9;90,92741935;5952
E05000303;Stanmore Park;2644,4;49520;68,58452892;313,1227273;67,4;92,94621254;5373
E05000304;Wealdstone;10166,7;40040;65,12841091;314,7354037;68,9;89,11103177;5602
E05000305;West Harrow;7400;50910;71,50700766;357,0117117;71,7;92,64866837;5482
E05000306;Brooklands;4369;42630;72,72170004;307,2579268;73,9;91,15834486;7951
E05000307;Cranham;1901,5;51810;75,55914848;336,5381295;70;95,36685903;6065
E05000308;Elm Park;3445,9;41990;73,39473011;321,851875;71;92,49371859;6368
E05000309;Emerson Park;2597,8;53940;74,253981;351,7510949;69,5;95,55883317;6102
E05000310;Gooshays;2000;35640;63,02261092;284,4079208;67,9;87,04775687;6910
E05000311;Hacton;5060;48420;75,74865626;340,8365672;71,4;94,38411418;6446
E05000312;Harold Wood;1888,2;44860;72,16019417;292,2961538;71;92,42013261;6636
E05000313;Havering Park;1331,6;40590;69,14502695;290,7802548;68,5;91,45057363;6363
E05000314;Heaton;3955,9;35830;64,25880213;298,4716981;65,9;88,64347826;5750
E05000315;Hylands;4500;48630;75,63878194;340,5527473;73,4;94,17325056;7088
E05000316;Mawneys;4333,3;43350;73,23332507;313,1313725;70,8;93,20343664;6518
E05000317;Pettits;3225;48780;74,9068323;321,508982;70,5;94,62202697;6601
E05000318;Rainham and Wennington;792,9;41660;72,42206235;304,1729032;70,6;91,95581142;6427
E05000319;Romford Town;7017,2;45060;74,44597701;314,1561728;75,1;92,35497932;8947
E05000320;St. Andrew's;5074,1;46300;76,1392178;328,0074324;72,4;93,85738832;6984
E05000321;South Hornchurch;2713,2;40060;70,53317536;304,6226601;70,2;90,69180523;6736
E05000322;Squirrel's Heath;5115,4;51110;77,2732498;334,7460317;74,4;94,90131579;7296
E05000323;Upminster;568,9;59340;76,3928113;352,05875;70,8;95,87852495;6454
E05000324;Barnhill;6952,4;38450;64,95332359;317,0774869;68,8;89,00499773;6603
E05000325;Botwell;3818,2;37140;63,97822361;312,1303922;68,4;88,24414945;7307
E05000326;Brunel;4712,1;41900;57,54772683;294,1978723;62,4;87,81309506;6827
E05000327;Cavendish;6300;54290;77,5606469;347,0140845;74,8;94,92149952;6242
E05000328;Charville;4600;42870;70,97011269;334,0248521;71,3;92,15197758;6422
E05000329;Eastcote and East Ruislip;3195,1;59180;76,79280233;350,9289256;71,8;95,97081218;6304
E05000330;Harefield;529,6;46190;75,72094996;306,9423529;73,7;94,18812134;3923
E05000331;Heathrow Villages;606,4;40090;71,72891708;319,9267241;74,3;91,8216711;6774
E05000332;Hillingdon East;3972,2;45220;72,3870814;326,5443182;73,4;92,39114281;6729
E05000333;Ickenham;1798,4;61230;76,56372472;366,8240602;71,9;95,75391583;5299
E05000334;Manor;6150;53570;80,53206003;350,6961905;77,3;95,68584071;6328
E05000335;Northwood;1520,3;57970;73,31422537;338,587037;69,6;95,33890436;5385
E05000336;Northwood Hills;3787,9;53380;74,26749864;332,4449612;72,3;93,85022318;6049
E05000337;Pinkwell;6166,7;38490;66,83678783;326,050463;69,8;90,42140283;7214
